Author,Title,ISBN-10,ISBN-13,OL_key,OL_title,OL_library,OL_ID
Orson Scott Card,Speaker for the Dead,812532570,9780812532579,OL49580W,Speaker for the Dead,Orson Scott Card,a71d4740-559b-47df-ba1e-a2398b5dab1f
Ray Bradbury,The Martian Chronicles,380973839,,OL103134W,The Martian Chronicles,Ray Bradbury,7af0a56d-4f2b-4539-aa0a-944c73444b45
Dan Simmons,Hyperion,575076372,9780575076372,OL1963268W,Hyperion,Dan Simmons,3ab993ae-3728-4f7c-a107-78dbc26bf718
Kurt Vonnegut Jr.,Slaughterhouse-Five,99800209,,OL98459W,Slaughterhouse-Five: A Novel,"Kurt Vonnegut, Kurt Vonnegut",823676fa-a417-4f80-9f8d-38945775cece
Ursula K. Le Guin,The Left Hand of Darkness,,9781101665398,OL59800W,The Left Hand of Darkness,Ursula K. Le Guin,315b6b70-2fe7-4bd0-b139-02a696ff6fb0
Neal Stephenson,Snow Crash,613361628,9780613361620,OL38501W,Snow Crash,Neal Stephenson,af1e9753-9c7c-4d53-9381-bb0c57f51786
Mary Shelley,Frankenstein,,9780702331794,OL34872997W,Frankenstein: The 1818 Text,Mary Shelley,c9f2f56a-ec66-416f-9b4e-1dce00540e22
Isaac Asimov,Foundation and Empire,,9798523747458,OL46224W,Foundation and Empire,Isaac Asimov,76e1580a-ef98-42e8-a54e-365fd8735d6e
Douglas Adams,"Life, the Universe and Everything",517548747,9780517548745,OL2163623W,"Life, the Universe and Everything",Douglas Adams,f6ffd929-51fc-46c7-b0f2-a63c50064c2e
Robert A. Heinlein,Starship Troopers,,9788804755166,OL59740W,Starship Troopers,Robert A. Heinlein,49a19d8a-60d7-4c10-af96-7bc4ffedaa6b
Isaac Asimov,Second Foundation,345309014,,OL46309W,Second Foundation,Isaac Asimov,4a9c76d3-2327-4713-b275-139b67d1a176
Frank Herbert,Dune Messiah,441015611,9780441015610,OL893526W,Dune Messiah,Frank Herbert,d80920a1-ec27-4881-9b5c-6de212a94927
Joe Haldeman,The Forever War,312298900,9780312298906,OL271163W,The Forever War,Joe Haldeman,1461a10a-5875-4ae2-a234-d4849dff4a34
Philip K. Dick,The Man in the High Castle,679740678,,OL2172403W,The Man in the High Castle,Philip K. Dick,a8f97d85-fa95-4e58-9b8a-c8e86256e482
Arthur C. Clarke,Childhood's End,345444051,,OL17415W,Childhood's End,Arthur C. Clarke,3806010b-e254-472d-bd4d-fb26239c7c1a
Arthur C. Clarke,Rendezvous with Rama,,9780358380221,OL17417W,Rendezvous with Rama,Arthur C. Clarke,2c9988cb-5f68-4934-834b-16c548fb70d9
Daniel Keyes,Flowers for Algernon,,9781464043109,OL515754W,Flowers for Algernon,Daniel Keyes,af39702f-0c79-454e-b025-b601eba0da94
Robert A. Heinlein,The Moon Is a Harsh Mistress,399105565,9780399105562,OL59704W,The Moon Is a Harsh Mistress,Robert A. Heinlein,11d94a9a-2f28-4397-8166-af4e16dc832e
Orson Scott Card,Xenocide,712647740,,OL49604W,Xenocide,Orson Scott Card,14f97a9e-6070-4cfb-be37-c8f20f6b8806
Frank Herbert,Children of Dune,425043835,9780425043837,OL893516W,Children of Dune,Frank Herbert,b1513ffe-121c-4a37-b84c-7d1dac0d5554
Ursula K. Le Guin,The Dispossessed,,9781857988826,OL59863W,The Dispossessed,Ursula K. Le Guin,8eb688d9-c79c-4049-ad64-a0a9a7f368d2
Larry Niven,Ringworld,765324628,9780765324627,OL510405W,Ringworld,Larry Niven,13af9988-c813-4365-b7db-f78c03d8da0a
Orson Scott Card,Ender's Shadow,031286860X,,OL49496W,Ender's Shadow,Orson Scott Card,aa06e41c-82c1-462b-8b8e-12c3cf6fd9cb
Walter M. Miller Jr.,A Canticle for Leibowitz,,9780553273816,OL2626638W,A Canticle for Leibowitz,Walter M. Miller Jr.,320ce5cf-e8ae-42e4-a81d-867d531318e6
